Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method,Order_Status
ORD-10559,2023-01-23,CUST-0011,Karan Malhotra,Male,38,Noida,Uttar Pradesh,Parker Frontier Matte Black Fountain Pen,Books & Stationery,3,650.0,15.0,1657.5,686.21,Cash on Delivery,Delivered
ORD-10204,2023-01-24,CUST-0086,Tushar Mittal,Male,20,Bengaluru,Karnataka,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,2,950.0,15.0,1615.0,479.66,UPI,Delivered
ORD-10440,2023-01-26,CUST-0044,Archana Pillai,Female,36,Coimbatore,Tamil Nadu,Yonex Muscle Power 29 Badminton Racket,Sports & Fitness,1,2390.0,15.0,2031.5,621.64,UPI,Delivered
ORD-10092,2023-01-30,CUST-0043,Rohit Khandelwal,Male,32,Indore,Madhya Pradesh,Zara Classic Linen Casual Shirt,Fashion,2,2990.0,5.0,5681.0,0.0,UPI,Cancelled
ORD-10365,2023-01-30,CUST-0062,Shreya Aggarwal,Female,43,New Delhi,Delhi,Nike Air Max 270 Sneakers,Fashion,2,8995.0,0.0,17990.0,5756.8,UPI,Pending
ORD-10405,2023-01-30,CUST-0065,Nandini Rastogi,Female,55,Coimbatore,Tamil Nadu,The Psychology of Money by Morgan Housel,Books & Stationery,2,399.0,10.0,718.2,254.72,UPI,Delivered
ORD-10742,2023-01-30,CUST-0041,Tarun Sethi,Male,43,Chandigarh,Punjab,Sony WH-1000XM5 ANC Headphones,Electronics,1,26990.0,0.0,26990.0,5937.8,UPI,Delivered
ORD-10301,2023-01-31,CUST-0033,Sameer Khan,Male,30,Hyderabad,Telangana,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,1,950.0,0.0,950.0,313.5,Net Banking,Delivered
ORD-10082,2023-02-01,CUST-0021,Gaurav Saxena,Male,27,Bhopal,Madhya Pradesh,Boat Rockerz 450 Bluetooth Headset,Electronics,3,1499.0,10.0,4047.3,1322.12,Credit Card,Delivered
ORD-10533,2023-02-02,CUST-0076,Mayank Rastogi,Male,36,Jaipur,Rajasthan,Philips Digital Air Fryer HD9252,Home & Kitchen,2,8499.0,0.0,16998.0,4249.5,Debit Card,Delivered
ORD-10549,2023-02-02,CUST-0032,Bhavna Shah,Female,37,Mumbai,Maharashtra,Fitbit Charge 6 Advanced Fitness Tracker,Sports & Fitness,1,14499.0,15.0,12324.15,2440.18,Credit Card,Delivered
ORD-10143,2023-02-03,CUST-0019,Deepak Bhatt,Male,36,Indore,Madhya Pradesh,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,2,999.0,5.0,1898.1,770.63,Debit Card,Delivered
ORD-10428,2023-02-03,CUST-0018,Ritu Choudhury,Female,28,Surat,Gujarat,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,1,950.0,25.0,712.5,195.94,Credit Card,Delivered
ORD-10343,2023-02-04,CUST-0003,Rahul Verma,Male,24,Bengaluru,Karnataka,Philips Digital Air Fryer HD9252,Home & Kitchen,1,8499.0,0.0,8499.0,2124.75,UPI,Delivered
ORD-10652,2023-02-04,CUST-0132,Suraj Bhattacharya,Male,24,Ludhiana,Punjab,Boat Rockerz 450 Bluetooth Headset,Electronics,2,1499.0,0.0,2998.0,1049.3,Net Banking,Delivered
ORD-10803,2023-02-04,CUST-0138,Shreya Kaur,Female,33,Jaipur,Rajasthan,Philips Digital Air Fryer HD9252,Home & Kitchen,2,8499.0,10.0,15298.2,3569.58,UPI,Delivered
ORD-10136,2023-02-07,CUST-0042,Pallavi Shenoy,Female,29,Bengaluru,Karnataka,The Psychology of Money by Morgan Housel,Books & Stationery,1,399.0,25.0,299.25,94.76,Cash on Delivery,Pending
ORD-10579,2023-02-10,CUST-0088,Pranav Aggarwal,Male,51,Chennai,Tamil Nadu,Ray-Ban Aviator Polarized Sunglasses,Fashion,1,7490.0,10.0,6741.0,2642.47,UPI,Delivered
ORD-10181,2023-02-13,CUST-0044,Archana Pillai,Female,36,Coimbatore,Tamil Nadu,Kent Grand Plus RO Water Purifier,Home & Kitchen,1,15499.0,10.0,13949.1,3124.6,Debit Card,Delivered
ORD-10594,2023-02-13,CUST-0078,Suraj Patil,Male,30,Jaipur,Rajasthan,Ray-Ban Aviator Polarized Sunglasses,Fashion,1,7490.0,20.0,5992.0,2181.09,UPI,Delivered
ORD-10471,2023-02-14,CUST-0008,Pooja Nair,Female,30,Kochi,Kerala,Ray-Ban Aviator Polarized Sunglasses,Fashion,1,7490.0,0.0,7490.0,3145.8,UPI,Delivered
ORD-10838,2023-02-16,CUST-0084,Payal Aggarwal,Female,43,Varanasi,Uttar Pradesh,Decathlon 20kg Cast Iron Dumbbell Set,Sports & Fitness,1,3499.0,10.0,3149.1,822.96,Credit Card,Delivered
ORD-10840,2023-02-16,CUST-0013,Amitabh Sen,Male,45,Kolkata,West Bengal,OnePlus Nord CE 3 Lite 5G,Electronics,2,18499.0,5.0,35148.1,6795.3,Debit Card,Delivered
ORD-10231,2023-02-17,CUST-0043,Rohit Khandelwal,Male,32,Indore,Madhya Pradesh,Sony WH-1000XM5 ANC Headphones,Electronics,2,26990.0,15.0,45883.0,9084.83,UPI,Delivered
ORD-10164,2023-02-19,CUST-0012,Divya Rao,Female,25,Bengaluru,Karnataka,Sony WH-1000XM5 ANC Headphones,Electronics,1,26990.0,25.0,20242.5,3711.13,Credit Card,Delivered
ORD-10630,2023-02-21,CUST-0022,Shweta Mishra,Female,31,Kanpur,Uttar Pradesh,OnePlus Nord CE 3 Lite 5G,Electronics,1,18499.0,10.0,16649.1,3107.83,Debit Card,Delivered
ORD-10043,2023-02-22,CUST-0074,Harshit Chopra,Male,27,Ludhiana,Punjab,Zara Classic Linen Casual Shirt,Fashion,1,2990.0,5.0,2840.5,1098.33,Debit Card,Delivered
ORD-10173,2023-02-22,CUST-0072,Yash Aggarwal,Male,30,Gurugram,Haryana,Fitbit Charge 6 Advanced Fitness Tracker,Sports & Fitness,1,14499.0,20.0,11599.2,2211.58,Debit Card,Delivered
ORD-10095,2023-02-23,CUST-0096,Dev Rastogi,Male,35,New Delhi,Delhi,Nike Air Max 270 Sneakers,Fashion,2,8995.0,0.0,17990.0,5756.8,UPI,Delivered
ORD-10122,2023-02-23,CUST-0009,Aditya Joshi,Male,33,Pune,Maharashtra,Moleskine Classic Hard Cover Ruled Journal,Books & Stationery,3,1799.0,15.0,4587.45,0.0,Debit Card,Cancelled
ORD-10576,2023-02-24,CUST-0043,Rohit Khandelwal,Male,32,Indore,Madhya Pradesh,Maybelline Superstay Matte Ink Lipstick,Beauty & Personal Care,3,499.0,0.0,1497.0,673.65,UPI,Delivered
ORD-10382,2023-02-25,CUST-0052,Mayank Singhania,Male,54,Mysuru,Karnataka,Nike Air Max 270 Sneakers,Fashion,3,8995.0,5.0,25635.75,7929.99,Credit Card,Delivered
ORD-10702,2023-02-25,CUST-0057,Dev Bhattacharya,Male,26,Kolkata,West Bengal,L'Oreal Paris Extraordinary Oil Serum,Beauty & Personal Care,1,649.0,15.0,551.65,208.52,UPI,Delivered
ORD-10057,2023-02-27,CUST-0011,Karan Malhotra,Male,38,Noida,Uttar Pradesh,Prestige Induction Cooktop 2000W,Home & Kitchen,1,2899.0,0.0,2899.0,811.72,UPI,Delivered
ORD-10618,2023-02-27,CUST-0052,Mayank Singhania,Male,54,Mysuru,Karnataka,Yonex Muscle Power 29 Badminton Racket,Sports & Fitness,1,2390.0,20.0,1912.0,563.4,Credit Card,Delivered
ORD-10375,2023-02-28,CUST-0083,Isha Rastogi,Female,54,Gurugram,Haryana,Fitbit Charge 6 Advanced Fitness Tracker,Sports & Fitness,1,14499.0,20.0,11599.2,2211.58,UPI,Delivered
ORD-10384,2023-03-01,CUST-0021,Gaurav Saxena,Male,27,Bhopal,Madhya Pradesh,Boat Rockerz 450 Bluetooth Headset,Electronics,1,1499.0,25.0,1124.25,327.91,Credit Card,Pending
ORD-10275,2023-03-02,CUST-0052,Mayank Singhania,Male,54,Mysuru,Karnataka,Kent Grand Plus RO Water Purifier,Home & Kitchen,1,15499.0,25.0,11624.25,2324.85,UPI,Delivered
ORD-10088,2023-03-03,CUST-0061,Tara Desai,Female,34,Mysuru,Karnataka,Nivia Storm Football Size 5,Sports & Fitness,2,699.0,20.0,1118.4,387.71,UPI,Delivered
ORD-10673,2023-03-03,CUST-0011,Karan Malhotra,Male,38,Noida,Uttar Pradesh,Prestige Induction Cooktop 2000W,Home & Kitchen,1,2899.0,0.0,2899.0,811.72,Cash on Delivery,Delivered
ORD-10260,2023-03-06,CUST-0023,Rajesh Pillai,Male,48,Coimbatore,Tamil Nadu,Decathlon 20kg Cast Iron Dumbbell Set,Sports & Fitness,2,3499.0,15.0,5948.3,1498.97,UPI,Delivered
ORD-10279,2023-03-06,CUST-0080,Kabir Mittal,Male,56,Bengaluru,Karnataka,Fitbit Charge 6 Advanced Fitness Tracker,Sports & Fitness,1,14499.0,10.0,13049.1,2679.42,Credit Card,Pending
ORD-10488,2023-03-07,CUST-0031,Varun Menon,Male,32,Kochi,Kerala,Dyson V8 Absolute Cordless Vacuum,Home & Kitchen,1,31900.0,15.0,27115.0,5124.73,UPI,Delivered
ORD-10519,2023-03-07,CUST-0004,Ananya Iyer,Female,29,Chennai,Tamil Nadu,The Body Shop British Rose Shower Gel,Beauty & Personal Care,1,795.0,25.0,596.25,218.63,Debit Card,Delivered
ORD-10635,2023-03-08,CUST-0027,Nikhil Chauhan,Male,26,Ludhiana,Punjab,Minimalist 10% Niacinamide Serum,Beauty & Personal Care,1,599.0,10.0,539.1,231.45,UPI,Pending
ORD-10150,2023-03-09,CUST-0003,Rahul Verma,Male,24,Bengaluru,Karnataka,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,4,950.0,20.0,3040.0,869.44,UPI,Delivered
ORD-10356,2023-03-10,CUST-0024,Tanvi Kulkarni,Female,23,Pune,Maharashtra,OnePlus Nord CE 3 Lite 5G,Electronics,1,18499.0,15.0,15724.15,2830.35,UPI,Delivered
ORD-10548,2023-03-10,CUST-0022,Shweta Mishra,Female,31,Kanpur,Uttar Pradesh,Dell XPS 13 Core i7 Laptop,Electronics,1,109990.0,0.0,109990.0,0.0,UPI,Cancelled
ORD-10585,2023-03-11,CUST-0126,Aryan Bhatia,Male,32,Surat,Gujarat,Nivia Storm Football Size 5,Sports & Fitness,3,699.0,0.0,2097.0,838.8,Cash on Delivery,Delivered
ORD-10668,2023-03-11,CUST-0001,Aarav Sharma,Male,28,Mumbai,Maharashtra,OnePlus Nord CE 3 Lite 5G,Electronics,1,18499.0,0.0,18499.0,3699.8,UPI,Delivered
ORD-10077,2023-03-12,CUST-0039,Akash Bansal,Male,27,Gurugram,Haryana,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,2,999.0,25.0,1498.5,0.0,UPI,Cancelled
ORD-10678,2023-03-13,CUST-0075,Tara Narang,Female,47,New Delhi,Delhi,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,1,999.0,20.0,799.2,290.91,Credit Card,Pending
ORD-10552,2023-03-14,CUST-0002,Priya Patel,Female,32,Ahmedabad,Gujarat,Philips Digital Air Fryer HD9252,Home & Kitchen,3,8499.0,15.0,21672.45,4876.3,Debit Card,Delivered
ORD-10830,2023-03-14,CUST-0002,Priya Patel,Female,32,Ahmedabad,Gujarat,Nivia Storm Football Size 5,Sports & Fitness,1,699.0,10.0,629.1,234.86,UPI,Delivered
ORD-10685,2023-03-15,CUST-0040,Deepika Sundaram,Female,33,Chennai,Tamil Nadu,Dell XPS 13 Core i7 Laptop,Electronics,1,109990.0,10.0,98991.0,12934.82,Credit Card,Delivered
ORD-10151,2023-03-17,CUST-0019,Deepak Bhatt,Male,36,Indore,Madhya Pradesh,Zara Classic Linen Casual Shirt,Fashion,1,2990.0,10.0,2691.0,1004.64,Credit Card,Delivered
ORD-10344,2023-03-18,CUST-0024,Tanvi Kulkarni,Female,23,Pune,Maharashtra,Decathlon 20kg Cast Iron Dumbbell Set,Sports & Fitness,1,3499.0,15.0,2974.15,0.0,Debit Card,Cancelled
ORD-10105,2023-03-19,CUST-0067,Nandini Singhania,Female,33,Thiruvananthapuram,Kerala,Allen Solly Men's Cotton Polo,Fashion,2,1199.0,10.0,2158.2,886.3,Debit Card,Delivered
ORD-10782,2023-03-19,CUST-0080,Kabir Mittal,Male,56,Bengaluru,Karnataka,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,1,999.0,0.0,999.0,419.58,Credit Card,Delivered
ORD-10108,2023-03-20,CUST-0010,Neha Gupta,Female,26,New Delhi,Delhi,Atomic Habits by James Clear,Books & Stationery,2,499.0,15.0,848.3,274.85,Credit Card,Delivered
ORD-10750,2023-03-20,CUST-0015,Manish Tiwari,Male,29,Lucknow,Uttar Pradesh,Dell XPS 13 Core i7 Laptop,Electronics,1,109990.0,0.0,109990.0,15398.6,UPI,Delivered
ORD-10154,2023-03-22,CUST-0122,Alok Rastogi,Male,35,New Delhi,Delhi,Dyson V8 Absolute Cordless Vacuum,Home & Kitchen,1,31900.0,15.0,27115.0,5124.73,Credit Card,Delivered
ORD-10227,2023-03-22,CUST-0013,Amitabh Sen,Male,45,Kolkata,West Bengal,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,2,950.0,0.0,1900.0,-114.0,UPI,Returned
ORD-10234,2023-03-22,CUST-0023,Rajesh Pillai,Male,48,Coimbatore,Tamil Nadu,Yonex Muscle Power 29 Badminton Racket,Sports & Fitness,1,2390.0,10.0,2151.0,682.58,UPI,Delivered
ORD-10355,2023-03-22,CUST-0014,Kavita Mehra,Female,34,Chandigarh,Punjab,Moleskine Classic Hard Cover Ruled Journal,Books & Stationery,1,1799.0,25.0,1349.25,472.24,Cash on Delivery,Delivered
ORD-10054,2023-03-24,CUST-0067,Nandini Singhania,Female,33,Thiruvananthapuram,Kerala,Kent Grand Plus RO Water Purifier,Home & Kitchen,2,15499.0,10.0,27898.2,-1673.89,Credit Card,Returned
ORD-10083,2023-03-24,CUST-0095,Sanya Desai,Female,55,Bengaluru,Karnataka,SleepyCat Memory Foam Ortho Mattress,Home & Kitchen,1,13999.0,0.0,13999.0,4199.7,Credit Card,Delivered
ORD-10228,2023-03-24,CUST-0080,Kabir Mittal,Male,56,Bengaluru,Karnataka,Atomic Habits by James Clear,Books & Stationery,1,499.0,10.0,449.1,150.9,Credit Card,Delivered
ORD-10007,2023-03-27,CUST-0089,Isha Patil,Female,50,Gurugram,Haryana,Moleskine Classic Hard Cover Ruled Journal,Books & Stationery,1,1799.0,10.0,1619.1,634.69,UPI,Delivered
ORD-10778,2023-03-28,CUST-0063,Isha Aggarwal,Female,37,Indore,Madhya Pradesh,Atomic Habits by James Clear,Books & Stationery,3,499.0,0.0,1497.0,538.92,UPI,Delivered
ORD-10020,2023-03-29,CUST-0007,Vikram Singh,Male,41,Jaipur,Rajasthan,Fossil Minimalist Chronograph Watch,Fashion,1,11495.0,15.0,9770.75,3253.66,Debit Card,Delivered
ORD-10029,2023-03-29,CUST-0045,Mohit Suri,Male,25,Noida,Uttar Pradesh,Levi's 511 Slim Fit Denim,Fashion,1,2899.0,10.0,2609.1,925.36,Debit Card,Delivered
ORD-10572,2023-03-29,CUST-0035,Abhishek Das,Male,34,Kolkata,West Bengal,Apple iPhone 15 (128GB),Electronics,1,74999.0,0.0,74999.0,-4499.94,Cash on Delivery,Returned
ORD-10720,2023-03-31,CUST-0015,Manish Tiwari,Male,29,Lucknow,Uttar Pradesh,OnePlus Nord CE 3 Lite 5G,Electronics,2,18499.0,5.0,35148.1,-2108.89,UPI,Returned
ORD-10340,2023-04-01,CUST-0021,Gaurav Saxena,Male,27,Bhopal,Madhya Pradesh,Parker Frontier Matte Black Fountain Pen,Books & Stationery,1,650.0,5.0,617.5,274.58,Debit Card,Delivered
ORD-10385,2023-04-01,CUST-0025,Siddharth Jain,Male,33,Jaipur,Rajasthan,Ray-Ban Aviator Polarized Sunglasses,Fashion,1,7490.0,10.0,6741.0,2642.47,Net Banking,Delivered
ORD-10831,2023-04-02,CUST-0051,Kabir Chopra,Male,37,Chennai,Tamil Nadu,Apple iPad Air M2,Electronics,1,54900.0,0.0,54900.0,9333.0,UPI,Delivered
ORD-10068,2023-04-03,CUST-0132,Suraj Bhattacharya,Male,24,Ludhiana,Punjab,Minimalist 10% Niacinamide Serum,Beauty & Personal Care,1,599.0,0.0,599.0,275.54,Credit Card,Delivered
ORD-10462,2023-04-03,CUST-0058,Sanya Bhatia,Female,49,Jaipur,Rajasthan,Philips All-in-One Trimmer MG7715,Beauty & Personal Care,1,3295.0,20.0,2636.0,731.05,Net Banking,Delivered
ORD-10087,2023-04-04,CUST-0094,Kiara Narang,Female,49,Chennai,Tamil Nadu,Samsung Galaxy S24 5G,Electronics,1,69999.0,10.0,62999.1,10583.85,Debit Card,Delivered
ORD-10238,2023-04-04,CUST-0004,Ananya Iyer,Female,29,Chennai,Tamil Nadu,Sony WH-1000XM5 ANC Headphones,Electronics,1,26990.0,25.0,20242.5,3711.13,UPI,Delivered
ORD-10561,2023-04-05,CUST-0010,Neha Gupta,Female,26,New Delhi,Delhi,Fitbit Charge 6 Advanced Fitness Tracker,Sports & Fitness,1,14499.0,0.0,14499.0,3189.78,Debit Card,Delivered
ORD-10783,2023-04-05,CUST-0065,Nandini Rastogi,Female,55,Coimbatore,Tamil Nadu,Ikigai: Japanese Secret to a Long Happy Life,Books & Stationery,1,350.0,5.0,332.5,128.57,Credit Card,Delivered
ORD-10277,2023-04-06,CUST-0082,Harshit Kaur,Male,55,New Delhi,Delhi,The Body Shop British Rose Shower Gel,Beauty & Personal Care,2,795.0,20.0,1272.0,0.0,UPI,Cancelled
ORD-10835,2023-04-06,CUST-0014,Kavita Mehra,Female,34,Chandigarh,Punjab,Mi 360 Home Security Camera 2K,Electronics,1,2999.0,10.0,2699.1,755.75,Credit Card,Delivered
ORD-10086,2023-04-08,CUST-0024,Tanvi Kulkarni,Female,23,Pune,Maharashtra,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,1,950.0,5.0,902.5,287.9,UPI,Delivered
ORD-10191,2023-04-08,CUST-0022,Shweta Mishra,Female,31,Kanpur,Uttar Pradesh,Nike Air Max 270 Sneakers,Fashion,1,8995.0,0.0,8995.0,2878.4,UPI,Delivered
ORD-10226,2023-04-09,CUST-0099,Payal Chopra,Female,55,Ludhiana,Punjab,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,1,999.0,15.0,849.15,320.98,Debit Card,Delivered
ORD-10256,2023-04-10,CUST-0056,Simran Narang,Female,29,Coimbatore,Tamil Nadu,Maybelline Superstay Matte Ink Lipstick,Beauty & Personal Care,2,499.0,5.0,948.1,412.42,UPI,Delivered
ORD-10348,2023-04-10,CUST-0038,Monika Soni,Female,31,Jaipur,Rajasthan,Apple iPad Air M2,Electronics,1,54900.0,0.0,54900.0,9333.0,Net Banking,Delivered
ORD-10624,2023-04-11,CUST-0025,Siddharth Jain,Male,33,Jaipur,Rajasthan,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,1,999.0,0.0,999.0,419.58,Debit Card,Delivered
ORD-10701,2023-04-11,CUST-0008,Pooja Nair,Female,30,Kochi,Kerala,Fossil Minimalist Chronograph Watch,Fashion,1,11495.0,0.0,11495.0,4253.15,UPI,Delivered
ORD-10031,2023-04-12,CUST-0065,Nandini Rastogi,Female,55,Coimbatore,Tamil Nadu,Fossil Minimalist Chronograph Watch,Fashion,1,11495.0,20.0,9196.0,2948.85,UPI,Delivered
ORD-10578,2023-04-12,CUST-0071,Kartik Kaur,Male,25,Gurugram,Haryana,Milton Thermosteel Flip Flask 1000ml,Home & Kitchen,3,950.0,15.0,2422.5,719.48,UPI,Delivered
ORD-10757,2023-04-12,CUST-0030,Aarti Goswami,Female,29,Ahmedabad,Gujarat,Decathlon 20kg Cast Iron Dumbbell Set,Sports & Fitness,1,3499.0,20.0,2799.2,679.27,UPI,Delivered
ORD-10758,2023-04-12,CUST-0086,Tushar Mittal,Male,20,Bengaluru,Karnataka,Ray-Ban Aviator Polarized Sunglasses,Fashion,2,7490.0,10.0,13482.0,5284.94,Credit Card,Delivered
ORD-10486,2023-04-13,CUST-0036,Kajal Tripathi,Female,28,Varanasi,Uttar Pradesh,Ray-Ban Aviator Polarized Sunglasses,Fashion,1,7490.0,5.0,7115.5,2888.89,Credit Card,Pending
ORD-10628,2023-04-15,CUST-0058,Sanya Bhatia,Female,49,Jaipur,Rajasthan,Ray-Ban Aviator Polarized Sunglasses,Fashion,1,7490.0,5.0,7115.5,2888.89,Net Banking,Delivered
ORD-10675,2023-04-16,CUST-0009,Aditya Joshi,Male,33,Pune,Maharashtra,Samsung Galaxy S24 5G,Electronics,1,69999.0,0.0,69999.0,12599.82,UPI,Delivered
ORD-10133,2023-04-17,CUST-0066,Aryan Desai,Male,22,Gurugram,Haryana,Yonex Muscle Power 29 Badminton Racket,Sports & Fitness,1,2390.0,5.0,2270.5,746.24,Debit Card,Delivered
ORD-10416,2023-04-19,CUST-0070,Komal Grewal,Female,45,Kolkata,West Bengal,Dell XPS 13 Core i7 Laptop,Electronics,1,109990.0,10.0,98991.0,12934.82,Debit Card,Delivered
ORD-10165,2023-04-21,CUST-0080,Kabir Mittal,Male,56,Bengaluru,Karnataka,L'Oreal Paris Extraordinary Oil Serum,Beauty & Personal Care,3,649.0,20.0,1557.6,566.97,UPI,Delivered
ORD-10577,2023-04-21,CUST-0132,Suraj Bhattacharya,Male,24,Ludhiana,Punjab,Sony WH-1000XM5 ANC Headphones,Electronics,2,26990.0,20.0,43184.0,8233.75,Net Banking,Delivered
ORD-10315,2023-04-22,CUST-0063,Isha Aggarwal,Female,37,Indore,Madhya Pradesh,Levi's 511 Slim Fit Denim,Fashion,1,2899.0,10.0,2609.1,925.36,UPI,Delivered
ORD-10753,2023-04-25,CUST-0076,Mayank Rastogi,Male,36,Jaipur,Rajasthan,Apple iPhone 15 (128GB),Electronics,1,74999.0,25.0,56249.25,7499.9,Credit Card,Delivered
ORD-10470,2023-04-27,CUST-0011,Karan Malhotra,Male,38,Noida,Uttar Pradesh,Maybelline Superstay Matte Ink Lipstick,Beauty & Personal Care,2,499.0,0.0,998.0,449.1,Credit Card,Delivered
ORD-10790,2023-04-27,CUST-0008,Pooja Nair,Female,30,Kochi,Kerala,Nike Air Max 270 Sneakers,Fashion,1,8995.0,25.0,6746.25,1799.0,Credit Card,Pending
ORD-10452,2023-04-28,CUST-0038,Monika Soni,Female,31,Jaipur,Rajasthan,Fossil Minimalist Chronograph Watch,Fashion,1,11495.0,25.0,8621.25,2658.22,Debit Card,Delivered
ORD-10255,2023-04-29,CUST-0096,Dev Rastogi,Male,35,New Delhi,Delhi,The Psychology of Money by Morgan Housel,Books & Stationery,1,399.0,5.0,379.05,139.24,UPI,Delivered
ORD-10732,2023-04-30,CUST-0018,Ritu Choudhury,Female,28,Surat,Gujarat,Philips Digital Air Fryer HD9252,Home & Kitchen,1,8499.0,25.0,6374.25,1327.97,UPI,Delivered
